project_ID,Princeton_ARK,IIIF_manifest,shelfmark,ISMI_ID
ark_88435_6w924f447,http://arks.princeton.edu/ark:/88435/6w924f447,https://figgy.princeton.edu/concern/scanned_resources/a2e312ae-e560-4284-9a5d-34778015f890/manifest,Garrett no. 506H,494424
ark_88435_9g54xh71j,http://arks.princeton.edu/ark:/88435/9g54xh71j,https://figgy.princeton.edu/concern/scanned_resources/30a27f87-f8e5-4e79-a130-8d82e1a40f23/manifest,Garrett no. 1350Y,21619
ark_88435_5425kd96h,http://arks.princeton.edu/ark:/88435/5425kd96h,https://figgy.princeton.edu/concern/scanned_resources/cec16325-8ff7-42d3-b5bc-d4611c502054/manifest,New Series no. 748,
ark_88435_6108vf53j,http://arks.princeton.edu/ark:/88435/6108vf53j,https://figgy.princeton.edu/concern/scanned_resources/ed1b26a7-53df-469e-af67-f6b3b4f49c16/manifest,Garrett no. 34Yq,79138
ark_88435_cv43p164z,http://arks.princeton.edu/ark:/88435/cv43p164z,https://figgy.princeton.edu/concern/scanned_resources/f048f565-f517-4ee9-9d2b-5ac4fc53c263/manifest,Garrett no. 211Y,986
ark_88435_dj52w7977,http://arks.princeton.edu/ark:/88435/dj52w7977,https://figgy.princeton.edu/concern/scanned_resources/173730f4-b3f0-4053-9948-d4ae70b281e2/manifest,New Series no. 463,
ark_88435_dz010q113,http://arks.princeton.edu/ark:/88435/dz010q113,https://figgy.princeton.edu/concern/scanned_resources/9d22b790-e0af-4025-bc89-b64d70aaa5fb/manifest,Garrett no. 3442Y,
ark_88435_m039k493g,http://arks.princeton.edu/ark:/88435/m039k493g,https://figgy.princeton.edu/concern/scanned_resources/9b37d37e-1dcf-4bb1-96e0-2882df61d062/manifest,Garrett no. 105B,482734
ark_88435_r781wg07m,http://arks.princeton.edu/ark:/88435/r781wg07m,https://figgy.princeton.edu/concern/scanned_resources/0de92cc8-9653-476c-96f3-317e1b724537/manifest,Garrett no. 373Y,3499
ark_88435_vm40xv207,http://arks.princeton.edu/ark:/88435/vm40xv207,https://figgy.princeton.edu/concern/scanned_resources/7c0bd3ab-086e-4a70-b087-22505d2664a8/manifest,Garrett no. 55B,494432
ark_88435_wm117s27v,http://arks.princeton.edu/ark:/88435/wm117s27v,https://figgy.princeton.edu/concern/scanned_resources/cd986b34-7c0c-4dc0-8bfa-84df1188fa27/manifest,Garrett no. 541H,
ark_88435_ww72bk845,http://arks.princeton.edu/ark:/88435/ww72bk845,https://figgy.princeton.edu/concern/scanned_resources/ce2f5e01-5bb3-4caf-9792-c2440ae1569a/manifest,Garrett no. 3171Y,6475
ark_88435_xk81jp66g,http://arks.princeton.edu/ark:/88435/xk81jp66g,https://figgy.princeton.edu/concern/scanned_resources/6c0488cb-3806-496e-bb2d-9cef804d5f10/manifest,Garrett no. 3219Y,37632
ark_88435_c534fs61g,http://arks.princeton.edu/ark:/88435/c534fs61g,https://figgy.princeton.edu/concern/scanned_resources/7e19a71b-ae51-4c4f-b855-596285532b3a/manifest,Third Series no. 870q,
ark_88435_dcm326mc70w,http://arks.princeton.edu/ark:/88435/dcm326mc70w,https://figgy.princeton.edu/concern/scanned_resources/76eca226-b030-469a-9818-33ac29b48ab6/manifest,Garrett no. 143L,
ark_88435_dcgq67k2749,http://arks.princeton.edu/ark:/88435/dcgq67k2749,https://figgy.princeton.edu/concern/scanned_resources/602f533d-af23-4758-b0a0-1b586f6c9d47/manifest,Garrett no. 502H,14512
ark_88435_wp988j87g,http://arks.princeton.edu/ark:/88435/wp988j87g,https://figgy.princeton.edu/concern/scanned_resources/f133cf27-bf34-4117-9942-b3d50c3a8704/manifest,Garrett no. 515H,
ark_88435_dc3j333d51f,http://arks.princeton.edu/ark:/88435/dc3j333d51f,https://figgy.princeton.edu/concern/scanned_resources/136d6b66-c48d-47bd-8c31-1e6fb75bcc1e/manifest,Garrett no. 507H,
ark_88435_z603qx459,http://arks.princeton.edu/ark:/88435/z603qx459,https://figgy.princeton.edu/concern/scanned_resources/12ec4114-ca51-4254-bd80-6bc9f83bc9c9/manifest,Garrett no. 2259Yq,79348
ark_88435_np193924q,http://arks.princeton.edu/ark:/88435/np193924q,https://figgy.princeton.edu/concern/scanned_resources/ee1cdc5b-cbe8-4ff8-9923-3b81d2752d21/manifest,Garrett no. 220B,